track_id,track_title,album,kworb_total_streams,kworb_match_score,kworb_fetch_date,billboard_hot100_peak,billboard_hot100_weeks_on_chart,billboard_hot100_debut_date,charted_hot100,riaa_certification,riaa_cert_date,duration_seconds,fetch_timestamp,parser_note
digital_girl_808s_heartbreak,Digital Girl,808s & Heartbreak,2524720,100.00,2026-05-10,,,,False,,,,2026-05-12T16:42:07Z,
everybody_808s_heartbreak,Everybody,808s & Heartbreak,,,,,,,False,,,,2026-05-12T16:42:07Z,no_kworb_match;best_kworb_title='Every Hour';best_score=63.16
everyone_nose_remix_808s_heartbreak,Everyone Nose (Remix),808s & Heartbreak,6814265,100.00,2026-05-10,,,,False,,,,2026-05-12T16:42:07Z,
finer_things_808s_heartbreak,Finer Things,808s & Heartbreak,9717570,100.00,2026-05-10,,,,False,,,,2026-05-12T16:42:07Z,
go_hard_808s_heartbreak,Go Hard,808s & Heartbreak,3254398,100.00,2026-05-10,69,,2008-09-16,True,,,272,2026-05-12T16:42:07Z,
i_still_love_h_e_r_808s_heartbreak,I Still Love H.E.R.,808s & Heartbreak,,,,,,,False,,,,2026-05-12T16:42:07Z,no_kworb_match;best_kworb_title='I Love It (& Lil Pump)';best_score=80.00
it_s_over_808s_heartbreak,It's Over,808s & Heartbreak,,,,,,,False,,,,2026-05-12T16:42:07Z,no_kworb_match;best_kworb_title='I Love It (& Lil Pump)';best_score=66.67
paranoid_808s_heartbreak,Paranoid,808s & Heartbreak,130150931,100.00,2026-05-10,,,,False,Platinum,,,2026-05-12T16:42:07Z,
punch_drunk_love_808s_heartbreak,Punch Drunk Love,808s & Heartbreak,24007433,100.00,2026-05-10,,,,False,,,,2026-05-12T16:42:07Z,
see_you_in_my_nightmares_808s_heartbreak,See You in My Nightmares,808s & Heartbreak,52158252,100.00,2026-05-10,21,,2008-11-24,True,Gold,,258,2026-05-12T16:42:07Z,
welcome_to_heartbreak_808s_heartbreak,Welcome to Heartbreak,808s & Heartbreak,99605640,100.00,2026-05-10,,,,False,Gold,,,2026-05-12T16:42:07Z,
lollipop_remix_808s_heartbreak,Lollipop (Remix),808s & Heartbreak,6781030,100.00,2026-05-10,,,,False,,,,2026-05-12T16:42:07Z,
put_on_808s_heartbreak,Put On,808s & Heartbreak,320775965,100.00,2026-05-10,,,,False,,,,2026-05-12T16:42:07Z,
swagga_like_us_808s_heartbreak,Swagga Like Us,808s & Heartbreak,58008212,100.00,2026-05-10,,,,False,,,,2026-05-12T16:42:07Z,
coldest_winter_808s_heartbreak,Coldest Winter,808s & Heartbreak,60280167,100.00,2026-05-10,,,,False,Gold,,,2026-05-12T16:42:07Z,
heartless_808s_heartbreak,Heartless,808s & Heartbreak,1989606226,100.00,2026-05-10,2,22,2008-10-28,True,14x Platinum,,211,2026-05-12T16:42:07Z,
love_lockdown_808s_heartbreak,Love Lockdown,808s & Heartbreak,238221769,100.00,2026-05-10,3,,2008-09-18,True,5x Platinum,,270,2026-05-12T16:42:07Z,
pinocchio_story_808s_heartbreak,Pinocchio Story,808s & Heartbreak,22352178,100.00,2026-05-10,,,,False,,,,2026-05-12T16:42:07Z,
robocop_808s_heartbreak,RoboCop,808s & Heartbreak,52472847,100.00,2026-05-10,,,,False,Gold,,,2026-05-12T16:42:07Z,
say_you_will_808s_heartbreak,Say You Will,808s & Heartbreak,56745605,100.00,2026-05-10,,,,False,Gold,,,2026-05-12T16:42:07Z,
street_lights_808s_heartbreak,Street Lights,808s & Heartbreak,101962419,100.00,2026-05-10,,,,False,Gold,,,2026-05-12T16:42:07Z,
american_boy_post_808s_feature_run,American Boy,2008 features,1060659098,100.00,2026-05-10,,,,False,,,,2026-05-12T16:42:07Z,
knock_you_down_post_808s_feature_run,Knock You Down,808s & Heartbreak,463511176,100.00,2026-05-10,,,,False,,,,2026-05-12T16:42:07Z,
mama_s_boyfriend_post_808s_feature_run,Mama's Boyfriend,808s & Heartbreak,,,,,,,False,,,,2026-05-12T16:42:07Z,no_kworb_match;best_kworb_title='MAMAâ\x80\x99S FAVORITE';best_score=70.97
